date,new_patients,er,hospitalized,icu,recovered,dead
2020-10-05,0.08212307528513862,0,0.08661277229421181,0.34354261061914015,18530842.3571216,3595536.6260808674
2020-10-06,0.07011834378201012,0,0.07395173812146072,0.2933236390813766,18530842.427567184,3595536.6325389603
2020-10-07,0.05986846104533342,0,0.06314149086710248,0.25044566334962487,18530842.487715043,3595536.638053011
2020-10-08,0.05111690370774241,0,0.05391148295192825,0.21383557881175988,18530842.53907051,3595536.6427610195
2020-10-09,0.04364464692455583,0,0.04603071537417639,0.18257714692187269,18530842.582918845,3595536.6467808117
2020-10-10,0.03726468284923027,0,0.039301956508790134,0.15588806458602975,18530842.62035744,3595536.650212992
2020-10-11,0.0318173403966105,0,0.03355680600098019,0.13310038553163678,18530842.652323272,3595536.653143457
2020-10-12,0.02716628916196018,0,0.02865148021847421,0.1136438036704442,18530842.67961635,3595536.6556455474
2020-10-13,0.023195127486074656,0,0.02446321378522405,0.09703138009125015,18530842.70291973,3595536.6577818827
2020-10-14,0.019804469276163233,0,0.020887187137965158,0.08284735647426526,18530842.722816627,3595536.659605929
2020-10-15,0.016909456674517487,0,0.01783390321175824,0.07073674993537003,18530842.739805,3595536.661163337
2020-10-16,0.014437636324649788,0,0.015226947600964134,0.06039646889188904,18530842.754310023,3595536.662493083
2020-10-17,0.012327146084318829,0,0.013001076139317932,0.05156772760777293,18530842.7666947,3595536.6636284473
2020-10-18,0.010525166804396656,0,0.011100582037066233,0.04402956957787117,18530842.777268983,3595536.6645978447
2020-10-19,0.008986600426320133,0,0.00947790170958977,0.037593337661702836,18530842.786297526,3595536.6654255353
2020-10-20,0.007672941314933308,0,0.00809242440565214,0.03209795257128429,18530842.794006273,3595536.6661322345
2020-10-21,0.006551312579619823,0,0.0069094758438976445,0.027405881548138562,18530842.800588157,3595536.6667356286
2020-10-22,0.0055936432657780755,0,0.005899450421116531,0.023399696337889093,18530842.806207906,3595536.6672508186
2020-10-23,0.0047759658242472755,0,0.005037070274094124,0.01997913431912551,18530842.811006162,3595536.6676906985
2020-10-24,0.0040778162764831295,0,0.004300752651618575,0.017058589235619093,18530842.81510301,3595536.6680662762
2020-10-25,0.003481722063443573,0,0.0036720697638951143,0.014564968732608815,18530842.818600982,3595536.668386952
2020-10-26,0.002972764760601188,0,0.003135287591042319,0.012435865077852404,18530842.821587622,3595536.668660752
2020-10-27,0.0025382067151700923,0,0.002676972108451122,0.010617993286187325,18530842.824137673,3595536.668894528
2020-10-28,0.0021671722614134627,0,0.00228565307402605,0.009065857558634169,18530842.826314956,3595536.6690941304
2020-10-29,0.0018503755358210488,0,0.0019515369629267377,0.007740612661087209,18530842.82817397,3595536.669264555
2020-10-30,0.0015798880801988894,0,0.0016662618654400352,0.006609091746377076,18530842.829761233,3595536.669410067
2020-10-31,0.0013489404164838327,0,0.0014226882138224316,0.005642976289058431,18530842.831116468,3595536.6695343084
2020-11-01,0.0011517526273042494,0,0.0012147201006425553,0.004818087358922292,18530842.832273595,3595536.6696403883
2020-11-02,0.0009833897022339393,0,0.0010371527167656268,0.004113780495969954,18530842.833261576,3595536.6697309613
2020-11-03,0.0008396380294961201,0,0.0008855420908168876,0.0035124290424136412,18530842.834105134,3595536.669808294
2020-11-04,0.0007168999420806687,0,0.0007560938700991545,0.002998983001078258,18530842.834825378,3595536.6698743226
2020-11-05,0.0006121036790848033,0,0.0006455683594893001,0.002560592379774035,18530842.83544034,3595536.6699306993
2020-11-06,0.0005226265088835227,0,0.000551199441726191,0.002186285595096994,18530842.83596541,3595536.669978834
2020-11-07,0.0004462290901366747,0,0.00047062534991160144,0.0018666948870837616,18530842.836413722,3595536.6700199335
2020-11-08,0.000380999427888375,0,0.0004018295596704397,0.0015938218726856573,18530842.8367965,3595536.670055025
2020-11-09,0.0003253050221504642,0,0.0003430903216809089,0.0013608373705793287,18530842.837123323,3595536.670084986
2020-11-10,0.00027775201139464205,0,0.0002929375715273848,0.0011619104875383252,18530842.83740237,3595536.670110568
2020-11-11,0.000237150288439194,0,0.0002501161384607355,0.0009920626889177724,18530842.83764063,3595536.6701324102
2020-11-12,0.00020248371568709083,0,0.00021355433229329793,0.0008470432010805549,18530842.83784406,3595536.6701510595
2020-11-13,0.00017288469429349462,0,0.00018233712225406587,0.0007232226274669598,18530842.83801775,3595536.670166983
2020-11-14,0.00014761245080630516,0,0.00015568323655244202,0.00061750211584178,18530842.838166054,3595536.6701805783
2020-11-15,0.00012603449786042462,0,0.00013292560952230938,0.0005272358034515025,18530842.838292677,3595536.6701921867
2020-11-16,0.00010761080494332168,0,0.00011349468699792852,0.00045016459912987724,18530842.83840079,3595536.6702020983
2020-11-17,9.188028307432046e-05,0,9.690417210601297e-05,0.00038435964511947495,18530842.838493094,3595536.6702105603
2020-11-18,7.844924515025376e-05,0,8.273885473452686e-05,0.0003281740436306712,18530842.838571906,3595536.6702177855
2020-11-19,6.698155315504385e-05,0,7.064422008683767e-05,0.0002802016400007199,18530842.838639196,3595536.6702239546
2020-11-20,5.719020564784226e-05,0,6.0317576254950304e-05,0.0002392418309208024,18530842.83869665,3595536.6702292217
2020-11-21,4.883015499015193e-05,0,5.1500478761974846e-05,0.00020426951698805654,18530842.838745706,3595536.670233719
2020-11-22,4.169217454897976e-05,0,4.3972262483173745e-05,0.00017440944758638868,18530842.838787593,3595536.670237559
2020-11-23,3.559762239077333e-05,0,3.754451906925168e-05,0.00014891431602649582,18530842.838823356,3595536.670240838
2020-11-24,3.0393970417332234e-05,0,3.205638165859493e-05,0.00012714605673310142,18530842.838853892,3595536.6702436376
2020-11-25,2.595098705156832e-05,0,2.7370498869153846e-05,0.00010855987640490674,18530842.838879965,3595536.6702460274
2020-11-26,2.2157477937353398e-05,0,2.3369597311234063e-05,9.269061949577825e-05,18530842.838902228,3595536.670248068
2020-11-27,1.8918503083087844e-05,0,1.9953546591350276e-05,7.91411267866485e-05,18530842.838921234,3595536.67024981
2020-11-28,1.6153000802560342e-05,0,1.703685335311833e-05,6.757229569860584e-05,18530842.838937465,3595536.6702512978
2020-11-29,1.3791758987567572e-05,0,1.4546521638653631e-05,5.769459358705038e-05,18530842.838951323,3595536.6702525686
2020-11-30,1.1775682939419705e-05,0,1.2420226021831335e-05,4.9260811620490426e-05,18530842.838963155,3595536.670253653
2020-12-01,1.0054316408424374e-05,0,1.0604751792491984e-05,4.20598778956123e-05,18530842.838973258,3595536.670254579
2020-12-02,8.584578827467144e-06,0,9.05466315414888e-06,3.5911574949716596e-05,18530842.838981885,3595536.6702553695
