,S,E,E_delta,I,I_delta,R,E+I
2020-06-10,0.006182323463315385,0.00036886577167119473,0.0003399010923886043,10120914.280535609,0.0003834385345369299,189879085.7129133,10120914.280904474
2020-06-11,0.005877277749188179,0.00033095258976920165,0.00030504571412720663,9582440.6285712,0.0003429588960291997,190417559.36522067,9582440.628902152
2020-06-12,0.005602712348176506,0.0002978094866520984,0.00027456540101167287,9072615.956891647,0.0003077085041287761,190927384.03720793,9072615.957189456
2020-06-13,0.005354899219720602,0.00026872944525251844,0.0002478131284559042,8589916.023657097,0.0002768931698554842,191410083.97071937,8589916.023925826
2020-06-14,0.005130648587080862,0.00024312454519594525,0.00022425063263974002,8132897.6828695405,0.0002498555326963132,191867102.3117568,8132897.683112665
2020-06-15,0.00492722044378259,0.0002205037242863677,0.0002034281432982719,7700194.569745524,0.00022604896420784943,192299805.42510685,7700194.5699660275
2020-06-16,0.004742252210158535,0.00020045506651126526,0.00018496823362405492,7290513.01564448,0.00020501689139915737,192709486.9794129,7290513.015844935
2020-06-17,0.004573699323653113,0.0001826316242977285,0.00016855288650542298,6902628.180339418,0.00018637632871895975,193097371.81490436,6902628.18052205
2020-06-18,0.00441978623702467,0.00016674001485640034,0.0001539130866284422,6535380.3900664775,0.00016980469606977036,193464619.6053471,6535380.390233218
2020-06-19,0.004278965830762226,0.00015253120504395742,0.00014082040626244366,6187671.670405058,0.00015502921607488658,193812328.32516354,6187671.670557589
2020-06-20,0.004149885658386925,0.00013979303126349365,0.00012908017237530194,5858462.463622784,0.00014181834615576572,194141537.53208762,5858462.463762578
2020-06-21,0.004031359764453247,0.00012834410140831725,0.00011852589393367758,5546768.520671004,0.00012997482378885399,194453231.4751694,5546768.520799348
2020-06-22,0.003922345066412818,0.00011802880270919401,0.00010901469804042914,5251657.95853872,0.00011932999673955238,194748342.03742102,5251657.958656749
2020-06-23,0.0038219214891642723,0.00010871319843000401,0.0001004235772485453,4972248.474167206,0.0001097391815277353,195027751.52190226,4972248.47427592
2020-06-24,0.003729275197271742,0.00010028164200812757,9.264629189253001e-05,4707704.70659566,0.00010107784831440645,195292295.2895749,4707704.706695942
2020-06-25,0.003643684393756982,9.26339726787327e-05,8.559080351475981e-05,4457235.739451385,9.323847284415468e-05,195542764.2568124,4457235.739544019
2020-06-26,0.003564507253135829,8.568318426824771e-05,7.917714062115348e-05,4220092.73631762,8.612792903163847e-05,195779907.2600323,4220092.736403303
2020-06-27,0.0034911716354147217,7.935348050460882e-05,7.333561772110734e-05,3995566.701909372,7.966532148474623e-05,196004433.2945202,3995566.7019887255
